XCoord,YCoord,NAME,ORIGINID,DESTINATIONID,TOTAL_DISTANCE,TOTAL_TIME
nan,nan,Gros Islet - Gros Islet,65,12,0.000000,0.000000
511287.38565000,1552460.95795000,Gros Islet - Castries,65,13,11.842431,0.312563
515424.81580000,1552262.52005000,Gros Islet - Babonneau,65,14,15.879368,0.455587
508562.17185000,1548392.98105000,Gros Islet - Anse La Raye,65,16,28.243410,0.753004
516764.27160000,1547285.03610000,Gros Islet - Dennery,65,15,35.538119,0.767137
507288.86200000,1546540.89400000,Gros Islet - Canaries,65,17,40.209998,1.032218
516410.39070000,1541933.82750000,Gros Islet - Micoud,65,18,52.078797,1.038530
507679.12320000,1543719.76855000,Gros Islet - Soufriere,65,22,51.223162,1.308058
510854.12955000,1538322.25780000,Gros Islet - Laborie,65,20,71.618012,1.559728
513275.07190000,1536794.28595000,Gros Islet - Vieux Fort,65,19,74.361451,1.563813
508214.90555000,1539294.60345000,Gros Islet - Choiseul,65,21,65.505537,1.625077
nan,nan,Castries - Castries,66,13,0.000000,0.000000
511287.38565000,1552460.95795000,Castries - Gros Islet,66,12,11.842431,0.312563
513202.31135000,1548399.59570000,Castries - Babonneau,66,14,13.755178,0.423660
506339.66740000,1544530.05670000,Castries - Anse La Raye,66,16,16.978038,0.455238
514541.76715000,1543422.11175000,Castries - Dennery,66,15,24.023652,0.465543
505066.35755000,1542677.96965000,Castries - Canaries,66,17,28.944626,0.734451
514187.88625000,1538070.90315000,Castries - Micoud,66,18,40.564330,0.736937
505456.61875000,1539856.84420000,Castries - Soufriere,66,22,39.957790,1.010291
508631.62510000,1534459.33345000,Castries - Laborie,66,20,60.103545,1.258134
511052.56745000,1532931.36160000,Castries - Vieux Fort,66,19,62.846984,1.262220
505992.40110000,1535431.67910000,Castries - Choiseul,66,21,54.240165,1.327310
nan,nan,Babonneau - Babonneau,67,14,0.000000,0.000000
513202.31135000,1548399.59570000,Babonneau - Castries,67,13,13.755178,0.423660
515424.81580000,1552262.52005000,Babonneau - Gros Islet,67,12,15.879368,0.455587
518679.19730000,1543223.67385000,Babonneau - Dennery,67,15,32.369983,0.692783
510477.09755000,1544331.61880000,Babonneau - Anse La Raye,67,16,28.089648,0.750567
518325.31640000,1537872.46525000,Babonneau - Micoud,67,18,48.910661,0.964176
509203.78770000,1542479.53175000,Babonneau - Canaries,67,17,40.056236,1.029780
509594.04890000,1539658.40630000,Babonneau - Soufriere,67,22,51.069400,1.305621
512769.05525000,1534260.89555000,Babonneau - Laborie,67,20,68.449876,1.485374
515189.99760000,1532732.92370000,Babonneau - Vieux Fort,67,19,71.193315,1.489459
510129.83125000,1535233.24120000,Babonneau - Choiseul,67,21,65.351775,1.622639
nan,nan,Dennery - Dennery,68,15,0.000000,0.000000
519664.77220000,1532894.98130000,Dennery - Micoud,68,18,16.540678,0.271393
514541.76715000,1543422.11175000,Dennery - Castries,68,13,24.023652,0.465543
511816.55335000,1539354.13485000,Dennery - Anse La Raye,68,16,27.229874,0.605185
518679.19730000,1543223.67385000,Dennery - Babonneau,68,14,32.369983,0.692783
516764.27160000,1547285.03610000,Dennery - Gros Islet,68,12,35.538119,0.767137
514108.51105000,1529283.41160000,Dennery - Laborie,68,20,36.079893,0.792591
516529.45340000,1527755.43975000,Dennery - Vieux Fort,68,19,38.823332,0.796676
510543.24350000,1537502.04780000,Dennery - Canaries,68,17,39.196462,0.884399
511469.28705000,1530255.75725000,Dennery - Choiseul,68,21,44.841102,0.965045
510933.50470000,1534680.92235000,Dennery - Soufriere,68,22,50.209625,1.160239
nan,nan,Anse La Raye - Anse La Raye,69,16,0.000000,0.000000
502341.14375000,1538609.99275000,Anse La Raye - Canaries,69,17,11.966588,0.279213
506339.66740000,1544530.05670000,Anse La Raye - Castries,69,13,16.978038,0.455238
502731.40495000,1535788.86730000,Anse La Raye - Soufriere,69,22,22.979752,0.555054
511816.55335000,1539354.13485000,Anse La Raye - Dennery,69,15,27.229874,0.605185
510477.09755000,1544331.61880000,Anse La Raye - Babonneau,69,14,28.089648,0.750567
508562.17185000,1548392.98105000,Anse La Raye - Gros Islet,69,12,28.243410,0.753004
503267.18730000,1531363.70220000,Anse La Raye - Choiseul,69,21,37.262127,0.872072
511462.67245000,1534002.92625000,Anse La Raye - Micoud,69,18,43.770552,0.876578
505906.41130000,1530391.35655000,Anse La Raye - Laborie,69,20,46.023336,1.044527
508327.35365000,1528863.38470000,Anse La Raye - Vieux Fort,69,19,53.902394,1.207059
nan,nan,Canaries - Canaries,70,17,0.000000,0.000000
501458.09510000,1533936.78025000,Canaries - Soufriere,70,22,11.013164,0.275840
502341.14375000,1538609.99275000,Canaries - Anse La Raye,70,16,11.966588,0.279213
501993.87745000,1529511.61515000,Canaries - Choiseul,70,21,25.295539,0.592859
505066.35755000,1542677.96965000,Canaries - Castries,70,13,28.944626,0.734451
504633.10145000,1528539.26950000,Canaries - Laborie,70,20,34.056748,0.765313
510543.24350000,1537502.04780000,Canaries - Dennery,70,15,39.196462,0.884399
507054.04380000,1527011.29765000,Canaries - Vieux Fort,70,19,41.935806,0.927845
509203.78770000,1542479.53175000,Canaries - Babonneau,70,14,40.056236,1.029780
507288.86200000,1546540.89400000,Canaries - Gros Islet,70,12,40.209998,1.032218
510189.36260000,1532150.83920000,Canaries - Micoud,70,18,55.737140,1.155792
nan,nan,Micoud - Micoud,71,18,0.000000,0.000000
519664.77220000,1532894.98130000,Micoud - Dennery,71,15,16.540678,0.271393
513754.63015000,1523932.20300000,Micoud - Laborie,71,20,19.539215,0.521197
516175.57250000,1522404.23115000,Micoud - Vieux Fort,71,19,22.282654,0.525283
511115.40615000,1524904.54865000,Micoud - Choiseul,71,21,28.300424,0.693652
514187.88625000,1538070.90315000,Micoud - Castries,71,13,40.564330,0.736937
511462.67245000,1534002.92625000,Micoud - Anse La Raye,71,16,43.770552,0.876578
518325.31640000,1537872.46525000,Micoud - Babonneau,71,14,48.910661,0.964176
510579.62380000,1529329.71375000,Micoud - Soufriere,71,22,42.582799,1.010670
516410.39070000,1541933.82750000,Micoud - Gros Islet,71,12,52.078797,1.038530
510189.36260000,1532150.83920000,Micoud - Canaries,71,17,55.737140,1.155792
nan,nan,Vieux Fort - Vieux Fort,72,19,0.000000,0.000000
510619.31135000,1518792.66145000,Vieux Fort - Laborie,72,20,7.879058,0.162532
507980.08735000,1519765.00710000,Vieux Fort - Choiseul,72,21,16.640267,0.334987
516175.57250000,1522404.23115000,Vieux Fort - Micoud,72,18,22.282654,0.525283
507444.30500000,1524190.17220000,Vieux Fort - Soufriere,72,22,30.922642,0.652005
516529.45340000,1527755.43975000,Vieux Fort - Dennery,72,15,38.823332,0.796676
507054.04380000,1527011.29765000,Vieux Fort - Canaries,72,17,41.935806,0.927845
508327.35365000,1528863.38470000,Vieux Fort - Anse La Raye,72,16,53.902394,1.207059
511052.56745000,1532931.36160000,Vieux Fort - Castries,72,13,62.846984,1.262220
